    Tev(Myr)       type        Mo          Mt      L          R       Teff          Mc          Menv            Renv            epoch    spin         
      0.0000      1.0000      1.5000      1.5000      4.3154      1.4560   6925.3916      0.0000      0.0000  10.000E-11      0.0000  2.0565E+03
    143.2679      1.0000      1.5000      1.5000      4.4537      1.4814   6920.2476      0.0000      0.0000  10.000E-11      0.0000  2.0118E+03
    286.5359      1.0000      1.5000      1.5000      4.5911      1.5074   6912.4019      0.0000      0.0000  10.000E-11      0.0000  1.9672E+03
    429.8038      1.0000      1.5000      1.5000      4.7273      1.5346   6901.1694      0.0000      0.0000  10.000E-11      0.0000  1.9224E+03
    573.0718      1.0000      1.5000      1.5000      4.8618      1.5632   6885.8755      0.0000      0.0000  10.000E-11      0.0000  1.8767E+03
    716.3397      1.0000      1.5000      1.5000      4.9943      1.5936   6865.8564      0.0000      0.0000  10.000E-11      0.0000  1.8298E+03
    859.6077      1.0000      1.5000      1.5000      5.1245      1.6263   6840.4678      0.0000      0.0000  10.000E-11      0.0000  1.7814E+03
   1002.8756      1.0000      1.5000      1.5000      5.2519      1.6616   6809.0874      0.0000      0.0000  10.000E-11      0.0000  1.7310E+03
   1146.1436      1.0000      1.5000      1.5000      5.3763      1.7000   6771.1284      0.0000      0.0000  10.000E-11      0.0000  1.6785E+03
   1289.4115      1.0000      1.5000      1.5000      5.4972      1.7422   6726.0513      0.0000      0.0000  10.000E-11      0.0000  1.6236E+03
   1432.6794      1.0000      1.5000      1.5000      5.6143      1.7885   6673.3892      0.0000      0.0000  10.000E-11      0.0000  1.5661E+03
   1575.9474      1.0000      1.5000      1.5000      5.7272      1.8397   6612.7861      0.0000      0.0000  10.000E-11      0.0000  1.5060E+03
   1719.2153      1.0000      1.5000      1.5000      5.8356      1.8962   6544.0562      0.0000      0.0000  15.525E-09      0.0000  1.4434E+03
   1862.4833      1.0000      1.5000      1.5000      5.9391      1.9587   6467.2739      0.0000      0.0000  60.311E-08      0.0000  1.3780E+03
   2005.7512      1.0000      1.5000      1.5000      6.0375      2.0274   6382.9048      0.0000      0.0000  66.102E-07      0.0000  1.3091E+03
   2149.0193      1.0000      1.5000      1.5000      6.1303      2.1023   6291.9941      0.0000      0.0000  40.926E-06      0.0000  1.2355E+03
